dates,Temperature_Deviations
1945M09,0.11
1945M10,0.16
1945M11,0.13
1945M12,-0.15
1946M01,0.04
1946M02,0.08
1946M03,0.09
1946M04,0.09
1946M05,0.08
1946M06,-0.02
1946M07,0.04
1946M08,0.00
1946M09,0.08
1946M10,0.01
1946M11,0.12
1946M12,-0.04
1947M01,0.05
1947M02,0.10
1947M03,0.23
1947M04,0.27
1947M05,0.14
1947M06,0.16
1947M07,0.12
1947M08,0.11
1947M09,0.12
1947M10,0.32
1947M11,0.26
1947M12,-0.01
1948M01,0.24
1948M02,0.03
1948M03,-0.02
1948M04,0.01
1948M05,0.21
1948M06,0.16
1948M07,0.03
1948M08,0.02
1948M09,0.11
1948M10,0.10
1948M11,0.02
1948M12,-0.13
1949M01,0.05
1949M02,-0.12
1949M03,0.11
1949M04,-0.03
1949M05,0.00
1949M06,0.04
1949M07,0.05
1949M08,0.02
1949M09,0.04
1949M10,0.11
1949M11,0.00
1949M12,0.02
1950M01,-0.16
1950M02,-0.07
1950M03,0.08
1950M04,-0.05
1950M05,-0.05
1950M06,-0.02
1950M07,-0.06
1950M08,-0.11
1950M09,-0.06
1950M10,-0.09
1950M11,-0.17
1950M12,-0.07
1951M01,-0.28
1951M02,-0.33
1951M03,0.03
1951M04,0.09
1951M05,0.15
1951M06,0.03
1951M07,0.11
1951M08,0.20
1951M09,0.24
1951M10,0.20
1951M11,0.09
1951M12,0.28
1952M01,0.21
1952M02,0.24
1952M03,-0.06
1952M04,0.07
1952M05,0.15
1952M06,0.02
1952M07,0.08
1952M08,0.11
1952M09,0.16
1952M10,0.10
1952M11,-0.10
1952M12,0.09
1953M01,0.19
1953M02,0.16
1953M03,0.11
1953M04,0.33
1953M05,0.19
1953M06,0.22
1953M07,0.12
1953M08,0.12
1953M09,0.18
1953M10,0.15
1953M11,0.17
1953M12,0.21
1954M01,-0.16
1954M02,-0.07
1954M03,-0.09
1954M04,0.01
1954M05,-0.07
1954M06,-0.04
1954M07,-0.15
1954M08,-0.03
1954M09,0.03
1954M10,0.08
1954M11,0.25
1954M12,0.02
1955M01,0.25
1955M02,0.04
1955M03,-0.29
1955M04,-0.10
1955M05,-0.12
1955M06,-0.13
1955M07,-0.18
1955M08,-0.04
1955M09,-0.09
1955M10,-0.03
1955M11,-0.22
1955M12,-0.23
1956M01,-0.12
1956M02,-0.23
1956M03,-0.21
1956M04,-0.19
1956M05,-0.27
1956M06,-0.13
1956M07,-0.18
1956M08,-0.26
1956M09,-0.23
1956M10,-0.16
1956M11,-0.14
1956M12,-0.15
1957M01,-0.10
1957M02,0.03
1957M03,-0.08
1957M04,0.00
1957M05,0.08
1957M06,0.16
1957M07,0.06
1957M08,0.14
1957M09,0.11
1957M10,0.06
1957M11,0.13
1957M12,0.26
1958M01,0.43
1958M02,0.28
1958M03,0.27
1958M04,0.12
1958M05,0.17
1958M06,0.09
1958M07,0.11
1958M08,0.08
1958M09,0.08
1958M10,0.18
1958M11,0.10
1958M12,0.13
1959M01,0.25
1959M02,0.10
1959M03,0.29
1959M04,0.15
1959M05,0.00
1959M06,0.16
1959M07,0.13
1959M08,0.07
1959M09,0.14
1959M10,-0.02
1959M11,0.07
1959M12,0.10
1960M01,0.18
1960M02,0.30
1960M03,-0.21
1960M04,-0.13
1960M05,-0.06
1960M06,0.13
1960M07,0.02
1960M08,0.11
1960M09,0.15
1960M10,0.06
1960M11,0.06
1960M12,0.25
1961M01,0.21
1961M02,0.24
1961M03,0.15
1961M04,0.11
1961M05,0.09
1961M06,0.11
1961M07,0.03
1961M08,0.03
1961M09,0.02
1961M10,0.08
1961M11,0.10
1961M12,0.01
1962M01,0.16
1962M02,0.15
1962M03,0.23
1962M04,0.14
1962M05,0.00
1962M06,-0.04
1962M07,0.00
1962M08,0.01
1962M09,0.02
1962M10,0.02
1962M11,0.14
1962M12,0.10
1963M01,-0.01
1963M02,0.36
1963M03,-0.11
1963M04,-0.03
1963M05,-0.03
1963M06,-0.04
1963M07,0.07
1963M08,0.00
1963M09,0.02
1963M10,0.22
1963M11,0.14
1963M12,0.00
1964M01,-0.14
1964M02,-0.18
1964M03,-0.22
1964M04,-0.25
1964M05,-0.22
1964M06,-0.29
1964M07,-0.22
1964M08,-0.28
1964M09,-0.25
1964M10,-0.34
1964M11,-0.32
1964M12,-0.35
1965M01,-0.11
1965M02,-0.28
1965M03,-0.20
1965M04,-0.33
1965M05,-0.19
1965M06,-0.11
1965M07,-0.15
1965M08,-0.13
1965M09,-0.12
1965M10,-0.07
1965M11,-0.03
1965M12,-0.15
1966M01,-0.13
1966M02,-0.04
1966M03,-0.04
1966M04,-0.12
1966M05,-0.05
1966M06,0.05
1966M07,0.06
1966M08,0.04
1966M09,-0.04
1966M10,-0.24
1966M11,-0.11
1966M12,-0.08
1967M01,-0.24
1967M02,-0.27
1967M03,-0.02
1967M04,0.07
1967M05,0.18
1967M06,-0.11
1967M07,-0.05
1967M08,-0.05
1967M09,-0.05
1967M10,0.25
1967M11,0.00
1967M12,-0.02
1968M01,-0.18
1968M02,-0.19
1968M03,0.12
1968M04,-0.19
1968M05,-0.17
1968M06,-0.19
1968M07,-0.08
1968M08,-0.02
1968M09,-0.11
1968M10,-0.08
1968M11,-0.21
1968M12,-0.13
1969M01,-0.21
1969M02,-0.21
1969M03,0.00
1969M04,0.06
1969M05,0.16
1969M06,-0.01
1969M07,0.15
1969M08,0.06
1969M09,-0.02
1969M10,-0.01
1969M11,0.20
1969M12,0.28
1970M01,0.08
1970M02,0.28
1970M03,0.06
1970M04,0.09
1970M05,-0.01
1970M06,0.19
1970M07,0.03
1970M08,-0.03
1970M09,-0.06
1970M10,-0.10
1970M11,0.04
1970M12,-0.19
1971M01,-0.18
1971M02,-0.21
1971M03,-0.19
1971M04,-0.20
1971M05,-0.19
1971M06,-0.24
1971M07,-0.12
1971M08,-0.10
1971M09,-0.02
1971M10,-0.07
1971M11,-0.07
1971M12,-0.21
1972M01,-0.42
1972M02,-0.37
1972M03,-0.10
1972M04,-0.06
1972M05,-0.06
1972M06,0.00
1972M07,0.07
1972M08,-0.05
1972M09,0.00
1972M10,0.01
1972M11,0.01
1972M12,0.18
1973M01,0.28
1973M02,0.38
