"Fechas","Producción interna de acero","Exportación de acero","Importación de acero","Disponibilidades de acero","Producción de cemento","Exportaciones de cemento","Importaciones de cemento","Estadísticas Generales. Consumo aparente de cemento"
"FEB 2011",1364,845.0,893.0,1412.1,1835.08,235.251,32.369,1762.78
"MAR 2011",1646,1190.8,858.2,1313.8,2164.38,206.890,48.363,2060.00
"ABR 2011",1464,819.6,721.5,1366.2,2085.56,212.767,53.013,1823.91
"MAY 2011",1501,818.1,904.7,1588.0,2147.10,190.233,70.371,2008.57
"JUN 2011",1399,947.2,691.4,1142.7,1960.88,200.291,43.934,1875.76
"JUL 2011",948,743.2,822.6,1027.4,2101.89,246.102,51.561,1812.98
"AGO 2011",1173,592.0,534.1,1114.6,1837.64,154.034,28.327,1700.80
"SEP 2011",1307,735.3,781.6,1353.4,1738.68,207.431,22.244,1686.62
"OCT 2011",1358,810.1,736.2,1284.1,1838.60,223.981,30.934,1513.46
"NOV 2011",1223,869.2,633.2,987.0,1473.68,159.435,39.775,1490.78
"DIC 2011",818,848.6,602.3,571.6,1311.36,148.118,24.381,1206.38
"ENE 2012",1165,659.5,617.5,1123.1,1369.36,197.200,35.854,1137.86
"FEB 2012",1207,778.4,789.3,1217.7,1322.94,203.604,22.065,1152.83
"MAR 2012",1376,1027.1,766.8,1115.8,1499.54,222.147,40.285,1293.13
